"","K","exclus","semcoh","heldout","residual","bound","lbound","em.its"
"1",15,9.4420340579712,-63.0873481098599,-7.78295588729553,5.12003838645692,-16361958.4372809,-16361930.5380095,102
"2",16,9.4594688645717,-64.3454055784351,-7.78068825557611,4.92901762867586,-16339080.9881383,-16339050.3162781,80
"3",17,9.49268357038847,-65.4670886239262,-7.76626334395737,4.86547650334233,-16314374.1767073,-16314340.6716339,96
"4",18,9.52811918136408,-69.5056483709927,-7.76332218590668,4.7426245791032,-16295883.6644574,-16295847.2690122,93
"5",19,9.54252825477597,-64.6260358557193,-7.75037045788244,4.67432304739566,-16267726.403359,-16267687.0634749,102
"6",20,9.58522525875101,-67.480937950269,-7.73694336120583,4.55169015324361,-16240737.9720263,-16240695.6364099,117
"7",21,9.61448689006298,-66.521871343991,-7.72606053885036,4.45188699633975,-16213061.0952526,-16213015.7151137,113
"8",22,9.61737302609816,-66.8617452671777,-7.72705360354529,4.3709743496363,-16208034.0762179,-16207985.6050365,98
"9",23,9.63434084588951,-69.4855656501785,-7.73060249028918,4.3165155046081,-16197731.3827176,-16197679.776042,99
"10",24,9.64635601308805,-70.9540658106111,-7.71530666503842,4.21662998621137,-16173467.6470747,-16173412.8623454,76
"11",25,9.66000242554307,-70.9982568921262,-7.71046517848391,4.1214248775881,-16159791.3316786,-16159733.3280733,69
"12",26,9.65963518061237,-72.3786515965923,-7.71196452743544,4.09146246743141,-16148456.0887519,-16148394.8270501,88
"13",27,9.6923053729438,-71.7227523774067,-7.70218389199388,4.05299860281128,-16138012.1045381,-16137947.5469995,83
"14",28,9.70478635135536,-71.9565942591033,-7.69493800610511,3.976003029076,-16117546.9312821,-16117479.041539,86
"15",29,9.72790110357194,-74.7988722469696,-7.69130246109936,3.93882817257913,-16109922.84856,-16109851.591521,97
"16",30,9.72547388617268,-74.9613505057831,-7.68783777883029,3.89456272097515,-16093734.6303485,-16093659.9721121,101
"17",31,9.72465638225916,-73.8386040074285,-7.68254563779734,3.84632853100091,-16077603.7867586,-16077525.694535,113
"18",32,9.72510966638136,-74.113953087314,-7.67835726549721,3.77556557653511,-16055587.0310889,-16055505.4731294,101
"19",33,9.72191689293755,-73.5482966742217,-7.67396953018553,3.72108410891336,-16043309.9152596,-16043224.8607926,95
"20",34,9.71953595164879,-75.6647052459541,-7.67003896539475,3.66762880473912,-16031895.2034798,-16031806.6226522,109
"21",35,9.71777843374585,-74.728107507798,-7.67050901562461,3.68564900252677,-16022488.2345742,-16022396.0983986,109
